時間戳記,電燈狀態,溫度,濕度
2025-11-29 14:35:03,關,24.99,59.16
2025-11-29 14:40:03,關,23.36,64.43
2025-11-29 14:45:03,關,27.63,65.98
2025-11-29 14:50:03,關,27.26,64.47
2025-11-29 14:55:03,開,29.86,67.47
2025-11-29 15:00:03,關,29.29,64.38
2025-11-29 15:05:03,關,25.38,63.26
2025-11-29 15:10:03,開,28.06,66.52
2025-11-29 15:15:03,關,28.32,58.77
2025-11-29 15:20:03,關,28.58,57.8
2025-11-29 15:25:03,關,23.2,59.16
2025-11-29 15:30:03,關,24.23,61.83
2025-11-29 15:35:03,開,23.56,60.38
2025-11-29 15:40:03,開,25.1,63.02
2025-11-29 15:45:03,關,24.1,60.51
2025-11-29 15:50:03,關,24.74,61.24
2025-11-29 15:55:03,關,30.22,59.99
2025-11-29 16:00:03,關,26.89,62.89
2025-11-29 16:05:03,關,29.35,60.37
2025-11-29 16:10:03,開,31.3,62.74
2025-11-29 16:15:03,開,23.81,60.8
2025-11-29 16:20:03,關,25.66,66.63
2025-11-29 16:25:03,關,26.06,63.22
2025-11-29 16:30:03,開,25.29,64.42
2025-11-29 16:35:03,關,26.84,56.12
2025-11-29 16:40:03,關,24.99,61.65
2025-11-29 16:45:03,關,28.27,66.47
2025-11-29 16:50:03,開,30.13,62.49
2025-11-29 16:55:03,開,30.71,67.42
2025-11-29 17:00:03,關,32.19,62.49
2025-11-29 17:05:03,關,22.36,60.72
2025-11-29 17:10:03,關,26.75,61.88
2025-11-29 17:15:03,關,28.84,57.74
2025-11-29 17:20:03,關,28.22,64.9
2025-11-29 17:25:03,關,27.51,61.95
2025-11-29 17:30:03,關,27.41,64.24
2025-11-29 17:35:03,關,25.81,62.23
2025-11-29 17:40:03,關,28.58,61.43
2025-11-29 17:45:03,開,30.22,63.7
2025-11-29 17:50:03,開,27.42,66.38
2025-11-29 17:55:03,關,24.05,59.39
2025-11-29 18:00:03,關,25.04,57.7
2025-11-29 18:05:03,關,26.26,63.85
2025-11-29 18:10:03,開,25.98,65.65
2025-11-29 18:15:03,開,28.08,66.8
2025-11-29 18:20:03,關,29.1,64.31
2025-11-29 18:25:03,關,30.23,61.49
2025-11-29 18:30:03,關,27.97,68.57
2025-11-29 18:35:03,開,31.04,62.88
2025-11-29 18:40:03,關,32.45,56.55
